rowId,PROGRAM_WORKING_ID,MESSAGE,DATE_CREATED
1,-1,EMG 	Emergency stop                	EXIN,2025-05-23 15:55:31.0550412
2,-1,V06 	Safety external EMG stop is ON	1,2025-05-23 15:55:31.0550412
3,-1,EMG 	Emergency stop                	SRV,2025-05-23 16:08:00.7294093
4,-1,,2025-05-23 16:08:01.7596495
5,-1,M01 	S/W stroke end axis exists    	0007        	Z,2025-05-23 16:08:30.2203889
6,-1,,2025-05-23 16:08:31.7922899
7,-1,EMG 	Emergency stop                	EXIN,2025-05-23 16:35:12.3537045
8,-1,V06 	Safety external EMG stop is ON	1,2025-05-23 16:35:12.3599219
9,-1,EMG 	Emergency stop                	SRV,2025-05-23 16:35:31.8010977
10,-1,,2025-05-23 16:35:32.8481804
11,-1,EMG 	Emergency stop                	EXIN,2025-05-23 16:43:20.1215087
12,-1,V06 	Safety external EMG stop is ON	1,2025-05-23 16:43:20.1235084
13,-1,EMG 	Emergency stop                	EXIN,2025-05-23 16:44:30.5283048
14,-1,M01 	No operation mode             	0101,2025-05-23 16:44:30.5283048
15,-1,V06 	Safety external EMG stop is ON	1,2025-05-23 16:44:30.5362374
16,-1,EMG 	Emergency stop                	SRV,2025-05-23 16:53:35.840106
17,-1,M01 	No operation mode             	0101,2025-05-23 16:53:35.840106
18,-1,M01 	No operation mode             	0101,2025-05-23 16:53:36.8772717
19,-1,,2025-05-23 16:53:46.8092144
20,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-23 16:54:48.8242765
21,-1,,2025-05-23 16:54:53.2695247
22,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-23 16:55:18.9576715
23,-1,,2025-05-23 16:55:21.8783762
24,-1,M01 	S/W stroke end axis exists    	0007        	X,2025-05-23 16:55:28.4379936
25,-1,,2025-05-23 16:55:30.5273077
26,-1,M01 	S/W stroke end axis exists    	0007        	X,2025-05-23 16:55:39.3831617
27,-1,,2025-05-23 16:55:54.3470517
28,-1,M01 	Cutting override zero         	0102,2025-05-23 16:56:06.5459427
29,-1,,2025-05-23 16:56:07.588138
30,-1,M01 	Cutting override zero         	0102,2025-05-23 16:56:08.0525584
31,-1,,2025-05-23 16:56:10.1422057
32,-1,M01 	Cutting override zero         	0102,2025-05-23 16:56:10.871617
33,-1,,2025-05-23 16:56:18.5792479
34,-1,M01 	Cutting override zero         	0102,2025-05-23 16:56:19.5616523
35,-1,,2025-05-23 16:56:20.6281332
36,-1,M01 	Cutting override zero         	0102,2025-05-23 16:56:22.1115559
37,-1,,2025-05-23 16:56:22.367211
38,-1,M01 	Cutting override zero         	0102,2025-05-23 16:56:23.1300683
39,-1,,2025-05-23 16:56:23.3947953
40,-1,M01 	Cutting override zero         	0102,2025-05-23 16:56:23.6465768
41,-1,,2025-05-23 16:56:24.969114
42,-1,M01 	Cutting override zero         	0102,2025-05-23 16:56:25.4344788
43,-1,,2025-05-23 16:56:26.233508
44,-1,M01 	Cutting override zero         	0102,2025-05-23 16:56:26.4477703
45,-1,,2025-05-23 16:56:27.7491349
46,-1,M01 	Cutting override zero         	0102,2025-05-23 16:57:02.4976292
47,-1,,2025-05-23 16:57:02.7494126
48,-1,M01 	Cutting override zero         	0102,2025-05-23 16:57:03.2567054
49,-1,,2025-05-23 16:57:03.7598536
50,-1,M01 	Cutting override zero         	0102,2025-05-23 16:57:05.812807
51,-1,,2025-05-23 16:57:07.1036672
52,-1,EMG 	Emergency stop                	EXIN,2025-05-23 16:59:18.4844821
53,-1,V06 	Safety external EMG stop is ON	1,2025-05-23 16:59:18.4864801
54,-1,EMG 	Emergency stop                	SRV,2025-05-26 09:37:24.0912848
55,-1,,2025-05-26 09:37:25.1617723
56,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 09:37:53.7904999
57,-1,,2025-05-26 09:37:57.4786579
58,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 09:38:10.0091699
59,-1,,2025-05-26 09:38:11.2686827
60,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 10:14:16.4624111
61,-1,,2025-05-26 10:21:10.6777512
62,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 10:27:23.3481899
63,-1,,2025-05-26 10:29:27.0806254
64,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 10:32:33.2605915
65,-1,,2025-05-26 10:35:35.3925511
66,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 10:36:54.7509018
67,-1,,2025-05-26 10:42:19.91702
68,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 10:43:56.8503448
69,-1,,2025-05-26 10:48:16.0374834
70,-1,V06 	Safety external EMG stop is ON	1,2025-05-26 10:49:56.340069
71,-1,EMG 	Emergency stop                	EXIN,2025-05-26 10:49:56.639062
72,-1,V06 	Safety external EMG stop is ON	1,2025-05-26 10:49:56.6408545
73,-1,EMG 	Emergency stop                	SRV,2025-05-26 12:12:55.7930765
74,-1,,2025-05-26 12:12:56.879488
75,-1,P277	Macro alarm message           	100         	0,2025-05-26 12:38:40.4375761
76,-1,,2025-05-26 12:38:50.1512251
77,-1,P277	Macro alarm message           	100         	0,2025-05-26 12:39:06.4427326
78,-1,,2025-05-26 12:39:08.0142009
79,-1,M01 	Cutting override zero         	0102,2025-05-26 12:41:17.9784816
80,-1,,2025-05-26 12:41:18.9863489
81,-1,EMG 	Emergency stop                	EXIN,2025-05-26 12:54:35.3822358
82,-1,V06 	Safety external EMG stop is ON	1,2025-05-26 12:54:35.3852351
83,-1,EMG 	Emergency stop                	SRV,2025-05-26 14:14:13.9675459
84,-1,,2025-05-26 14:14:15.026354
85,2,M01 	External interlock axis exists	0004        	XYV,2025-05-26 14:35:34.5875006
86,2,,2025-05-26 14:35:35.5770191
87,2,M01 	Cutting override zero         	0102,2025-05-26 14:35:37.9124985
88,2,,2025-05-26 14:35:42.9068488
89,2,M01 	Cutting override zero         	0102,2025-05-26 14:35:50.1832823
90,2,,2025-05-26 14:35:50.4462617
91,2,M01 	Cutting override zero         	0102,2025-05-26 14:35:51.2286138
92,2,,2025-05-26 14:35:51.4896014
93,2,M01 	Cutting override zero         	0102,2025-05-26 14:35:52.019389
94,2,,2025-05-26 14:35:52.2708093
95,2,M01 	Cutting override zero         	0102,2025-05-26 14:35:52.5330468
96,2,,2025-05-26 14:35:58.60048
97,2,M01 	Cutting override zero         	0102,2025-05-26 14:35:58.8074503
98,2,,2025-05-26 14:36:03.2471017
99,2,M01 	Cutting override zero         	0102,2025-05-26 14:36:05.5216194
100,2,,2025-05-26 14:36:07.09337
101,3,M01 	Cutting override zero         	0102,2025-05-26 14:36:27.028542
102,3,,2025-05-26 14:36:27.3325915
103,3,M01 	External interlock axis exists	0004        	X,2025-05-26 14:36:31.518477
104,3,,2025-05-26 14:36:32.8006842
105,3,M01 	Cutting override zero         	0102,2025-05-26 14:36:36.6642939
106,3,,2025-05-26 14:36:37.4869663
107,3,M01 	Cutting override zero         	0102,2025-05-26 14:36:39.0025353
108,3,,2025-05-26 14:36:39.2549376
109,3,M01 	Cutting override zero         	0102,2025-05-26 14:36:41.076873
110,3,,2025-05-26 14:36:41.6254825
111,3,M01 	Cutting override zero         	0102,2025-05-26 14:36:41.8739064
112,3,,2025-05-26 14:36:42.6767301
113,3,M01 	Cutting override zero         	0102,2025-05-26 14:36:42.9174241
114,3,,2025-05-26 14:36:43.7087815
115,3,M01 	Cutting override zero         	0102,2025-05-26 14:36:44.4770265
116,3,,2025-05-26 14:36:44.765377
117,4,M01 	External interlock axis exists	0004        	X,2025-05-26 14:37:08.5211393
118,4,,2025-05-26 14:37:09.5972253
119,5,M01 	External interlock axis exists	0004        	XYV,2025-05-26 14:37:45.8202312
120,5,,2025-05-26 14:37:47.1116423
121,6,M01 	External interlock axis exists	0004        	XYV,2025-05-26 14:38:30.9912756
122,6,,2025-05-26 14:38:32.3751318
123,7,M01 	External interlock axis exists	0004        	XYV,2025-05-26 14:38:54.2108291
124,7,,2025-05-26 14:38:55.5272274
125,9,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:05:12.4043779
126,9,,2025-05-26 15:05:15.0445492
127,-1,EMG 	Emergency stop                	EXIN,2025-05-26 15:13:50.7208373
128,-1,M01 	No operation mode             	0101,2025-05-26 15:13:50.7208373
129,-1,V06 	Safety external EMG stop is ON	1,2025-05-26 15:13:50.7289167
130,-1,EMG 	Emergency stop                	SRV,2025-05-26 15:15:42.7658186
131,-1,M01 	No operation mode             	0101,2025-05-26 15:15:42.7658186
132,-1,M01 	No operation mode             	0101,2025-05-26 15:15:43.8134282
133,-1,,2025-05-26 15:16:24.9144669
134,11,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:17:15.735836
135,11,,2025-05-26 15:17:18.2702119
136,12,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:19:35.0212243
137,12,,2025-05-26 15:19:37.9110487
138,13,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:22:13.6804065
139,13,,2025-05-26 15:22:16.5516887
140,14,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:23:06.0343359
141,14,,2025-05-26 15:23:08.5928905
142,16,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:25:36.8664736
143,16,,2025-05-26 15:25:39.4536023
144,-1,M01 	Cutting override zero         	0102,2025-05-26 15:27:23.3209336
145,-1,,2025-05-26 15:27:24.7839898
146,17,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:29:37.0370801
147,17,,2025-05-26 15:29:40.1814989
148,18,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:32:35.0197783
149,18,,2025-05-26 15:32:37.2990334
150,-1,EMG 	Emergency stop                	EXIN,2025-05-26 15:36:37.8199013
151,-1,V06 	Safety external EMG stop is ON	1,2025-05-26 15:36:37.8199013
152,-1,EMG 	Emergency stop                	SRV,2025-05-26 15:36:43.2405805
153,-1,,2025-05-26 15:36:44.2266275
154,19,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:38:43.7368867
155,19,,2025-05-26 15:38:46.5492384
156,20,M01 	External interlock axis exists	0004        	XYV,2025-05-26 15:39:19.4434429
157,20,,2025-05-26 15:39:22.2482927
158,-1,EMG 	Emergency stop                	EXIN,2025-05-26 16:09:31.8667332
159,-1,V06 	Safety external EMG stop is ON	1,2025-05-26 16:09:31.8667332
160,-1,EMG 	Emergency stop                	SRV,2025-05-26 16:15:50.2531674
161,-1,,2025-05-26 16:15:51.3275359
162,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 16:31:22.6414175
163,-1,,2025-05-26 16:31:44.1823093
164,-1,M01 	In reset process              	0115,2025-05-26 17:04:33.449636
165,-1,,2025-05-26 17:04:33.7138836
166,-1,M01 	Cutting override zero         	0102,2025-05-26 17:09:26.93892
167,-1,,2025-05-26 17:09:28.2161073
168,-1,EMG 	Emergency stop                	EXIN,2025-05-26 17:09:58.460732
169,-1,V06 	Safety external EMG stop is ON	1,2025-05-26 17:09:58.4627313
170,-1,EMG 	Emergency stop                	SRV,2025-05-26 17:10:28.396697
171,-1,,2025-05-26 17:10:29.5308732
172,-1,M01 	Cutting override zero         	0102,2025-05-26 17:13:25.1014846
173,-1,,2025-05-26 17:13:34.8214914
174,-1,EMG 	Emergency stop                	EXIN,2025-05-26 17:15:55.4995909
175,-1,V06 	Safety external EMG stop is ON	1,2025-05-26 17:15:55.5019324
176,-1,EMG 	Emergency stop                	SRV,2025-05-26 17:16:15.8744236
177,-1,,2025-05-26 17:16:16.9694023
178,-1,P277	Macro alarm message           	100         	0,2025-05-26 17:16:41.0158705
179,-1,,2025-05-26 17:16:47.7327685
180,-1,M01 	Cutting override zero         	0102,2025-05-26 17:20:29.495098
181,-1,,2025-05-26 17:20:32.0449879
182,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:27:54.7175668
183,-1,,2025-05-26 17:28:12.3079987
184,-1,M01 	In reset process              	0115,2025-05-26 17:28:30.9254968
185,-1,,2025-05-26 17:28:31.176021
186,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:28:40.8106715
187,-1,,2025-05-26 17:29:00.6175469
188,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:29:49.7427682
189,-1,,2025-05-26 17:29:55.8853877
190,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:31:55.5963898
191,-1,,2025-05-26 17:32:42.8194444
192,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:33:01.0034242
193,-1,,2025-05-26 17:33:11.3338192
194,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:33:41.6727651
195,-1,,2025-05-26 17:33:46.5744217
196,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:36:12.0345767
197,-1,,2025-05-26 17:36:15.2381776
198,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:43:45.0680032
199,-1,,2025-05-26 17:46:06.5691177
200,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:46:34.6411611
201,-1,,2025-05-26 17:47:16.603156
202,24,M01 	External interlock axis exists	0004        	XYV,2025-05-26 17:51:37.4936315
203,24,,2025-05-26 17:51:40.3967846
204,24,M01 	Cutting override zero         	0102,2025-05-26 17:51:47.4337348
205,24,,2025-05-26 17:51:47.6882192
206,25,M01 	External interlock axis exists	0004        	XYV,2025-05-26 17:52:42.0405605
207,25,,2025-05-26 17:52:44.9468976
208,26,M01 	Cutting override zero         	0102,2025-05-26 17:53:30.0571232
209,26,,2025-05-26 17:53:30.8778537
210,26,M01 	Cutting override zero         	0102,2025-05-26 17:53:31.8849964
211,26,,2025-05-26 17:53:36.1285707
212,27,M01 	Cutting override zero         	0102,2025-05-26 17:53:53.1658313
213,27,,2025-05-26 17:53:57.6379036
214,-1,M01 	Cutting override zero         	0102,2025-05-26 17:54:08.0186597
215,28,,2025-05-26 17:54:08.3981863
216,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 17:55:30.8434425
217,-1,,2025-05-26 17:55:43.5495957
218,-1,M01 	In reset process              	0115,2025-05-26 17:55:57.4493506
219,-1,,2025-05-26 17:55:57.7064694
220,-1,M01 	Cutting override zero         	0102,2025-05-26 18:27:20.9502917
221,-1,,2025-05-26 18:27:24.0373835
222,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 18:27:48.1852329
223,-1,,2025-05-26 18:27:57.104403
224,-1,M01 	Cutting override zero         	0102,2025-05-26 18:28:15.2524579
225,-1,,2025-05-26 18:28:53.5348253
226,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-26 18:29:16.5998706
227,-1,,2025-05-26 18:29:56.6389608
228,-1,EMG 	Emergency stop                	EXIN,2025-05-27 08:01:23.6461891
229,-1,V06 	Safety external EMG stop is ON	1,2025-05-27 08:01:23.6461891
230,-1,EMG 	Emergency stop                	SRV,2025-05-27 08:03:41.5167605
231,-1,,2025-05-27 08:03:42.3505791
232,-1,M01 	S/W stroke end axis exists    	0007        	X,2025-05-27 08:13:39.7222659
233,-1,,2025-05-27 08:13:51.311537
234,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-27 08:37:08.6516715
235,-1,,2025-05-27 08:37:10.946255
236,-1,EMG 	Emergency stop                	EXIN,2025-05-27 09:06:48.3253603
237,-1,V06 	Safety external EMG stop is ON	1,2025-05-27 09:06:48.330859
238,-1,EMG 	Emergency stop                	SRV,2025-05-27 10:07:59.8545144
239,-1,,2025-05-27 10:08:00.8986213
240,-1,M01 	S/W stroke end axis exists    	0007        	YV,2025-05-27 10:33:23.565244
241,-1,,2025-05-27 10:38:12.2681689
242,33,M01 	External interlock axis exists	0004        	XYV,2025-05-27 10:45:22.2317069
243,33,,2025-05-27 10:45:25.014321
244,33,M01 	Cutting override zero         	0102,2025-05-27 10:45:30.2347939
245,33,,2025-05-27 10:45:30.4850708
246,33,M01 	Cutting override zero         	0102,2025-05-27 10:45:33.3371335
247,33,,2025-05-27 10:45:33.6026117
248,33,M01 	Cutting override zero         	0102,2025-05-27 10:45:33.8679105
249,33,,2025-05-27 10:45:34.1233323
250,33,M01 	Cutting override zero         	0102,2025-05-27 10:45:34.9154029
251,33,,2025-05-27 10:45:35.1674901
252,33,M01 	Cutting override zero         	0102,2025-05-27 10:45:35.4207138
253,33,,2025-05-27 10:45:36.7703566
254,34,M01 	External interlock axis exists	0004        	XYV,2025-05-27 10:45:58.13661
255,34,,2025-05-27 10:46:00.6980437
256,35,M01 	External interlock axis exists	0004        	XYV,2025-05-27 10:46:31.565745
257,35,,2025-05-27 10:46:34.1505655
258,36,M01 	External interlock axis exists	0004        	XYV,2025-05-27 10:47:09.9244726
259,36,,2025-05-27 10:47:12.8208165
260,37,M01 	External interlock axis exists	0004        	XYV,2025-05-27 11:16:27.8042269
261,37,,2025-05-27 11:16:30.3583235
262,38,M01 	External interlock axis exists	0004        	XYV,2025-05-27 11:17:24.823706
263,38,,2025-05-27 11:17:27.6719475
264,-1,EMG 	Emergency stop                	EXIN,2025-05-27 11:19:40.8621127
265,-1,M01 	No operation mode             	0101,2025-05-27 11:19:40.8641169
266,-1,V06 	Safety external EMG stop is ON	1,2025-05-27 11:19:40.8661208
267,-1,EMG 	Emergency stop                	SRV,2025-05-27 11:19:46.0285392
268,-1,M01 	No operation mode             	0101,2025-05-27 11:19:46.0415587
269,-1,M01 	No operation mode             	0101,2025-05-27 11:19:47.1218417
270,-1,,2025-05-27 11:19:50.9041967
271,39,M01 	External interlock axis exists	0004        	XYV,2025-05-27 11:20:49.3210399
272,39,M01 	Cutting override zero         	0102,2025-05-27 11:20:50.0430073
273,39,,2025-05-27 11:20:53.7209177
274,39,M01 	Cutting override zero         	0102,2025-05-27 11:21:11.0421064
275,39,,2025-05-27 11:21:11.5611004
276,40,M01 	External interlock axis exists	0004        	XYV,2025-05-27 11:43:16.8398837
277,40,,2025-05-27 11:43:19.7323004
278,40,M01 	Cutting override zero         	0102,2025-05-27 11:43:22.0493399
279,40,,2025-05-27 11:43:24.2073436
280,40,M01 	Cutting override zero         	0102,2025-05-27 11:43:25.1991418
281,40,,2025-05-27 11:43:32.3348593
282,40,M01 	Cutting override zero         	0102,2025-05-27 11:43:34.9205038
283,40,,2025-05-27 11:43:35.1707656
284,40,M01 	External interlock axis exists	0004        	XYV,2025-05-27 11:44:00.3520357
285,40,,2025-05-27 11:44:03.7693955
286,40,M01 	Cutting override zero         	0102,2025-05-27 11:44:05.5821218
287,40,,2025-05-27 11:44:09.7312863
288,40,M01 	External interlock axis exists	0004        	XYV,2025-05-27 11:44:26.6158566
289,40,,2025-05-27 11:44:30.2645978
290,41,M01 	External interlock axis exists	0004        	XYV,2025-05-27 11:50:13.9119654
291,41,,2025-05-27 11:50:16.8015013
292,41,M01 	External interlock axis exists	0004        	XYV,2025-05-27 11:50:38.2839515
293,41,,2025-05-27 11:50:41.7009727
294,41,M01 	External interlock axis exists	0004        	XYV,2025-05-27 11:50:58.8037678
295,41,,2025-05-27 11:51:02.7359187
296,42,M01 	Cutting override zero         	0102,2025-05-27 12:03:00.286846
297,42,,2025-05-27 12:03:06.3475066
298,44,M01 	Cutting override zero         	0102,2025-05-27 12:04:49.1785632
299,44,,2025-05-27 12:04:52.9045595
300,-1,M01 	Cutting override zero         	0102,2025-05-27 12:46:32.7762233
301,-1,,2025-05-27 12:46:34.8161305
302,50,M01 	Cutting override zero         	0102,2025-05-27 12:48:46.5754647
303,50,,2025-05-27 12:48:47.8963842
304,50,M01 	Cutting override zero         	0102,2025-05-27 12:49:28.3990508
305,50,,2025-05-27 12:49:28.932442
306,50,M01 	Cutting override zero         	0102,2025-05-27 12:49:30.471168
307,50,,2025-05-27 12:49:31.8171441
308,50,M01 	Cutting override zero         	0102,2025-05-27 12:49:39.9226542
309,50,,2025-05-27 12:49:40.4537445
310,50,M01 	Cutting override zero         	0102,2025-05-27 12:49:42.5200872
311,50,,2025-05-27 12:49:43.8517361
312,50,M01 	Cutting override zero         	0102,2025-05-27 12:49:49.1428634
313,50,,2025-05-27 12:49:49.6726066
314,50,M01 	Cutting override zero         	0102,2025-05-27 12:49:50.95631
315,50,,2025-05-27 12:49:52.3323414
316,51,M01 	Cutting override zero         	0102,2025-05-27 12:51:07.4578717
317,51,,2025-05-27 12:51:08.7979436
318,51,M01 	Cutting override zero         	0102,2025-05-27 12:51:16.6767167
319,51,,2025-05-27 12:51:17.4677409
320,51,M01 	Cutting override zero         	0102,2025-05-27 12:51:19.0162979
321,51,,2025-05-27 12:51:20.0892991
322,52,M01 	Cutting override zero         	0102,2025-05-27 12:52:29.8345354
323,52,,2025-05-27 12:52:30.8889706
324,52,M01 	Cutting override zero         	0102,2025-05-27 12:52:36.9499113
325,52,,2025-05-27 12:52:37.4757668
326,52,M01 	Cutting override zero         	0102,2025-05-27 12:52:38.7237184
327,52,,2025-05-27 12:52:39.8105693
328,53,M01 	Cutting override zero         	0102,2025-05-27 12:53:33.5319516
