ID,NAME,PATH,HASH,NOTE,PTK_ID,MULTI_HEAD_MODE,DATE_CREATED,LAST_UPDATED,IS_MULTIPLE,IS_NESTED,NUMOFFILE
1,C:\PROTEK\CNLoggerSuite\PTK-Logger\Temp\9999,7F1C1B9B0CFC3D29B4E156FD618379EA_9999,7F1C1B9B0CFC3D29B4E156FD618379EA,,,,2025-05-23 15:55:31.0981899,2025-09-08 09:11:31.1723123,0,0,0
2,C:\PROTEK\CNLoggerSuite\PTK-Logger\Temp\MDI.PRG,0BCEF9C45BD8A48EDA1B26EB0C61C869_MDI.PRG,0BCEF9C45BD8A48EDA1B26EB0C61C869,,,,2025-05-23 16:08:05.8474455,2025-09-08 10:39:10.7785618,0,0,0
3,C:\PROTEK\CNLoggerSuite\PTK-Logger\Temp\MDI.PRG,2650A514147E494F1FA86659E369A5BE_MDI.PRG,2650A514147E494F1FA86659E369A5BE,,,,2025-05-26 10:48:50.2954759,2025-05-26 10:48:50.2954759,0,0,0
4,C:\PROTEK\CNLoggerSuite\PTK-Logger\Temp\MDI.PRG,40B44B04AAC000E95F9FAC3091C6F361_MDI.PRG,40B44B04AAC000E95F9FAC3091C6F361,,,,2025-05-26 12:47:43.7485451,2025-05-26 12:49:28.6689207,0,0,0
5,C:\PROTEK\CNLoggerSuite\PTK-Logger\Temp\MDI.PRG,9FA97695D7674510E2804D563162B3E6_MDI.PRG,9FA97695D7674510E2804D563162B3E6,,,,2025-05-26 14:20:48.3161865,2025-05-26 14:20:48.3161865,0,0,0
6,C:\PROTEK\CNLoggerSuite\PTK-Logger\Temp\MDI.PRG,25C8740192476E62825EF3539DF50FCE_MDI.PRG,25C8740192476E62825EF3539DF50FCE,,,,2025-05-26 14:21:26.2742931,2025-05-26 14:21:26.2742931,0,0,0
7,C:\ABC_Licom PRG\EEEE_1.txt,B6DF098615F82B665349FAEC93ECEAE0_EEEE_1.txt,B6DF098615F82B665349FAEC93ECEAE0,,,,2025-05-26 14:22:40.6474496,2025-05-26 14:22:40.6474496,0,0,0
8,C:\ABC_Licom PRG\NewProject01.txt,F12D7FF265345915081732A04455A04D_NewProject01.txt,F12D7FF265345915081732A04455A04D,,,,2025-05-26 14:28:39.3386492,2025-05-26 14:28:39.3386492,0,0,0
9,C:\PROTEK\PTK-Panel\WAIT,F72525CECD5868375566872A4F345A35_WAIT,F72525CECD5868375566872A4F345A35,,,,2025-05-26 14:28:48.5751738,2025-06-04 07:54:18.1462055,0,0,0
10,C:\ABC_Licom PRG\NewProject02.txt,C5D999D91DD3734C861A49625C78F987_NewProject02.txt,C5D999D91DD3734C861A49625C78F987,,,,2025-05-26 14:29:38.5008759,2025-05-26 14:29:38.5008759,0,0,0
11,C:\ABC_Licom PRG\NewProject03.txt,7D882B23D07A6302FC46097F0ED482CA_NewProject03.txt,7D882B23D07A6302FC46097F0ED482CA,,,,2025-05-26 14:33:05.6831028,2025-05-26 14:33:05.6831028,0,0,0
12,C:\ABC_Licom PRG\NewProject04.txt,16603936638BFE1E6C775C6EA96CCAEB_NewProject04.txt,16603936638BFE1E6C775C6EA96CCAEB,,,,2025-05-26 14:35:18.5406193,2025-05-26 14:35:27.0447806,0,0,0
13,C:\ABC_Licom PRG\NewProject05.txt,53B87B26577B4AA7989FD476546449A4_NewProject05.txt,53B87B26577B4AA7989FD476546449A4,,,,2025-05-26 14:38:25.0474818,2025-05-26 14:38:25.0474818,0,0,0
14,C:\ABC_Licom PRG\102.txt,ABFF9C8CE5A8969584547798FB0FBDE6_102.txt,ABFF9C8CE5A8969584547798FB0FBDE6,,,,2025-05-26 14:53:01.8950671,2025-05-26 14:53:01.8950671,0,0,0
15,C:\ABC_Licom PRG\102.txt,8545B04B4BF22A5990D7E60799596FB8_102.txt,8545B04B4BF22A5990D7E60799596FB8,,,,2025-05-26 15:04:54.1989385,2025-05-26 17:51:26.9415807,0,0,0
16,C:\ABC_Licom PRG\101.txt,4E0F8D45D36A92C11827CDB43B3BD7B5_101.txt,4E0F8D45D36A92C11827CDB43B3BD7B5,,,,2025-05-26 15:29:16.4686298,2025-05-26 16:30:08.5889034,0,0,0
17,C:\PROTEK\PTK-Panel\tmp\102.txt,123A385812F3E95438525056F6ADB483_102.txt,123A385812F3E95438525056F6ADB483,,,,2025-05-26 17:53:12.197069,2025-05-27 08:02:48.9523293,0,0,0
18,C:\PROTEK\PTK-Panel\tmp\MDI.PRG,_MDI.PRG,,,,,2025-05-26 17:55:57.185417,2025-05-26 17:55:57.185417,0,0,0
19,C:\ABC_Licom PRG\tel2.txt,0E44EEEBFC15799B6A12CC3E6D2E676F_tel2.txt,0E44EEEBFC15799B6A12CC3E6D2E676F,,,,2025-05-27 08:41:15.1194523,2025-05-27 08:41:15.1194523,0,0,0
20,C:\ABC_Licom PRG\NewProject05.txt,3EDF219F28E73DFE1CF6929AB5A405AE_NewProject05.txt,3EDF219F28E73DFE1CF6929AB5A405AE,,,,2025-05-27 10:44:44.9794126,2025-05-27 11:20:44.8218838,0,0,0
21,C:\ABC_Licom PRG\figura complessa 1.txt,A15ED9F9E95524F273C9747C1B52EF9C_figura complessa 1.txt,A15ED9F9E95524F273C9747C1B52EF9C,,,,2025-05-27 11:38:20.9632339,2025-05-27 11:38:20.9632339,0,0,0
22,figura complessa 1.txt,_figura complessa 1.txt,,,,,2025-05-27 12:00:53.3239115,2025-05-27 12:00:53.3239115,0,0,0
23,C:\ABC_Licom PRG\braccialetto.txt,5C19F237437F2A4A37A83ECD84B90FB0_braccialetto.txt,5C19F237437F2A4A37A83ECD84B90FB0,,,,2025-05-27 12:00:53.5824062,2025-05-27 12:00:53.5824062,0,0,0
24,C:\ABC_Licom PRG\NewProject06.txt,2F70A96EA4E242CB201628572C65B164_NewProject06.txt,2F70A96EA4E242CB201628572C65B164,,,,2025-05-27 12:04:12.0376808,2025-05-27 12:04:12.0376808,0,0,0
25,C:\ABC_Licom PRG\NewProject07.txt,71D9BDE6D8D67560EFEA023A71359FEF_NewProject07.txt,71D9BDE6D8D67560EFEA023A71359FEF,,,,2025-05-27 12:05:27.8189181,2025-05-27 12:05:27.8189181,0,0,0
26,C:\ABC_Licom PRG\NewProject08.txt,429B62AED1CD976FE07433368AC65B29_NewProject08.txt,429B62AED1CD976FE07433368AC65B29,,,,2025-05-27 12:08:00.7159107,2025-05-27 12:08:00.7159107,0,0,0
27,C:\ABC_Licom PRG\NewProject09.txt,266EC33460738A4B126635A2CFC7B0B4_NewProject09.txt,266EC33460738A4B126635A2CFC7B0B4,,,,2025-05-27 12:09:45.7574557,2025-05-27 12:09:45.7574557,0,0,0
28,C:\ABC_Licom PRG\tel1.txt,49E163A0E04F61BF191507E44DB942BA_tel1.txt,49E163A0E04F61BF191507E44DB942BA,,,,2025-05-27 12:40:50.8551405,2025-05-27 12:40:50.8551405,0,0,0
29,C:\ABC_Licom PRG\tel2.txt,1348D38A1A7125ED915C5F97A815E3E9_tel2.txt,1348D38A1A7125ED915C5F97A815E3E9,,,,2025-05-27 12:44:12.8267848,2025-05-27 12:44:12.8267848,0,0,0
30,C:\ABC_Licom PRG\tel2.txt,577CE8A6BAD5DB0068407FF7E09F8A00_tel2.txt,577CE8A6BAD5DB0068407FF7E09F8A00,,,,2025-05-27 12:48:12.156193,2025-05-27 12:48:12.156193,0,0,0
31,C:\ABC_Licom PRG\tel2.txt,_tel2.txt,,,,,2025-05-27 13:03:02.1608094,2025-05-27 13:13:02.524798,0,0,0
32,C:\ABC_Licom PRG\tel2.txt,D6312DA13DC09770424444B9E04AAA11_tel2.txt,D6312DA13DC09770424444B9E04AAA11,,,,2025-05-27 13:03:03.6816387,2025-05-27 13:03:03.6816387,0,0,0
33,C:\ABC_Licom PRG\tel2.txt,64B833A32AED12F88AAB5B7F43F5BC16_tel2.txt,64B833A32AED12F88AAB5B7F43F5BC16,,,,2025-05-27 13:06:36.7088523,2025-05-27 13:06:36.7088523,0,0,0
34,C:\ABC_Licom PRG\tel2.txt,B5F04116A782840A69B5CF9F9745D9A7_tel2.txt,B5F04116A782840A69B5CF9F9745D9A7,,,,2025-05-27 13:13:04.0468026,2025-06-25 14:27:51.0003375,0,0,0
35,C:\ABC_Licom PRG\aaa.txt,C6F6AF94AC041B0B5F8B02F52183A929_aaa.txt,C6F6AF94AC041B0B5F8B02F52183A929,,,,2025-05-27 13:17:34.7745902,2025-05-27 13:17:34.7745902,0,0,0
