ID,PART_PROGRAM_ID,NAME,HASH,PATH,CURRENTFILE,DATE_CREATED,LAST_UPDATED
1,7,C:\ABC_Licom PRG\EEEE_1.txt,B6DF098615F82B665349FAEC93ECEAE0,B6DF098615F82B665349FAEC93ECEAE0_EEEE_1.txt,System.String[],2025-05-26 14:22:40.6474496,2025-05-26 14:22:40.6474496
2,8,C:\ABC_Licom PRG\NewProject01.txt,F12D7FF265345915081732A04455A04D,F12D7FF265345915081732A04455A04D_NewProject01.txt,System.String[],2025-05-26 14:28:39.3386492,2025-05-26 14:28:39.3386492
3,10,C:\ABC_Licom PRG\NewProject02.txt,C5D999D91DD3734C861A49625C78F987,C5D999D91DD3734C861A49625C78F987_NewProject02.txt,System.String[],2025-05-26 14:29:38.5008759,2025-05-26 14:29:38.5008759
4,11,C:\ABC_Licom PRG\NewProject03.txt,7D882B23D07A6302FC46097F0ED482CA,7D882B23D07A6302FC46097F0ED482CA_NewProject03.txt,System.String[],2025-05-26 14:33:05.6831028,2025-05-26 14:33:05.6831028
5,12,C:\ABC_Licom PRG\NewProject04.txt,16603936638BFE1E6C775C6EA96CCAEB,16603936638BFE1E6C775C6EA96CCAEB_NewProject04.txt,System.String[],2025-05-26 14:35:18.5406193,2025-05-26 14:35:18.5406193
6,13,C:\ABC_Licom PRG\NewProject05.txt,53B87B26577B4AA7989FD476546449A4,53B87B26577B4AA7989FD476546449A4_NewProject05.txt,System.String[],2025-05-26 14:38:25.0474818,2025-05-26 14:38:25.0474818
7,14,C:\ABC_Licom PRG\102.txt,ABFF9C8CE5A8969584547798FB0FBDE6,ABFF9C8CE5A8969584547798FB0FBDE6_102.txt,System.String[],2025-05-26 14:53:01.8950671,2025-05-26 14:53:01.8950671
8,15,C:\ABC_Licom PRG\102.txt,8545B04B4BF22A5990D7E60799596FB8,8545B04B4BF22A5990D7E60799596FB8_102.txt,System.String[],2025-05-26 15:04:54.1989385,2025-05-26 15:04:54.1989385
9,16,C:\ABC_Licom PRG\101.txt,4E0F8D45D36A92C11827CDB43B3BD7B5,4E0F8D45D36A92C11827CDB43B3BD7B5_101.txt,System.String[],2025-05-26 15:29:16.4686298,2025-05-26 15:29:16.4686298
10,19,C:\ABC_Licom PRG\tel2.txt,0E44EEEBFC15799B6A12CC3E6D2E676F,0E44EEEBFC15799B6A12CC3E6D2E676F_tel2.txt,System.String[],2025-05-27 08:41:15.1194523,2025-05-27 08:41:15.1194523
11,20,C:\ABC_Licom PRG\NewProject05.txt,3EDF219F28E73DFE1CF6929AB5A405AE,3EDF219F28E73DFE1CF6929AB5A405AE_NewProject05.txt,System.String[],2025-05-27 10:44:44.9794126,2025-05-27 10:44:44.9794126
12,21,C:\ABC_Licom PRG\figura complessa 1.txt,A15ED9F9E95524F273C9747C1B52EF9C,A15ED9F9E95524F273C9747C1B52EF9C_figura complessa 1.txt,System.String[],2025-05-27 11:38:20.9632339,2025-05-27 11:38:20.9632339
13,23,C:\ABC_Licom PRG\braccialetto.txt,5C19F237437F2A4A37A83ECD84B90FB0,5C19F237437F2A4A37A83ECD84B90FB0_braccialetto.txt,System.String[],2025-05-27 12:00:53.5824062,2025-05-27 12:00:53.5824062
14,24,C:\ABC_Licom PRG\NewProject06.txt,2F70A96EA4E242CB201628572C65B164,2F70A96EA4E242CB201628572C65B164_NewProject06.txt,System.String[],2025-05-27 12:04:12.0376808,2025-05-27 12:04:12.0376808
15,25,C:\ABC_Licom PRG\NewProject07.txt,71D9BDE6D8D67560EFEA023A71359FEF,71D9BDE6D8D67560EFEA023A71359FEF_NewProject07.txt,System.String[],2025-05-27 12:05:27.8189181,2025-05-27 12:05:27.8189181
16,26,C:\ABC_Licom PRG\NewProject08.txt,429B62AED1CD976FE07433368AC65B29,429B62AED1CD976FE07433368AC65B29_NewProject08.txt,System.String[],2025-05-27 12:08:00.7159107,2025-05-27 12:08:00.7159107
17,27,C:\ABC_Licom PRG\NewProject09.txt,266EC33460738A4B126635A2CFC7B0B4,266EC33460738A4B126635A2CFC7B0B4_NewProject09.txt,System.String[],2025-05-27 12:09:45.7574557,2025-05-27 12:09:45.7574557
18,28,C:\ABC_Licom PRG\tel1.txt,49E163A0E04F61BF191507E44DB942BA,49E163A0E04F61BF191507E44DB942BA_tel1.txt,System.String[],2025-05-27 12:40:50.8551405,2025-05-27 12:40:50.8551405
19,29,C:\ABC_Licom PRG\tel2.txt,1348D38A1A7125ED915C5F97A815E3E9,1348D38A1A7125ED915C5F97A815E3E9_tel2.txt,System.String[],2025-05-27 12:44:12.8267848,2025-05-27 12:44:12.8267848
20,30,C:\ABC_Licom PRG\tel2.txt,577CE8A6BAD5DB0068407FF7E09F8A00,577CE8A6BAD5DB0068407FF7E09F8A00_tel2.txt,System.String[],2025-05-27 12:48:12.156193,2025-05-27 12:48:12.156193
21,31,C:\ABC_Licom PRG\tel2.txt,,_tel2.txt,System.String[],2025-05-27 13:03:02.1608094,2025-05-27 13:03:02.1608094
22,32,C:\ABC_Licom PRG\tel2.txt,D6312DA13DC09770424444B9E04AAA11,D6312DA13DC09770424444B9E04AAA11_tel2.txt,System.String[],2025-05-27 13:03:03.6816387,2025-05-27 13:03:03.6816387
23,33,C:\ABC_Licom PRG\tel2.txt,64B833A32AED12F88AAB5B7F43F5BC16,64B833A32AED12F88AAB5B7F43F5BC16_tel2.txt,System.String[],2025-05-27 13:06:36.7088523,2025-05-27 13:06:36.7088523
24,34,C:\ABC_Licom PRG\tel2.txt,B5F04116A782840A69B5CF9F9745D9A7,B5F04116A782840A69B5CF9F9745D9A7_tel2.txt,System.String[],2025-05-27 13:13:04.0468026,2025-05-27 13:13:04.0468026
25,35,C:\ABC_Licom PRG\aaa.txt,C6F6AF94AC041B0B5F8B02F52183A929,C6F6AF94AC041B0B5F8B02F52183A929_aaa.txt,System.String[],2025-05-27 13:17:34.7745902,2025-05-27 13:17:34.7745902
26,36,C:\ABC_Licom PRG\ytjfy.txt,EE41671FC80A87B1F65E42F9878EADCD,EE41671FC80A87B1F65E42F9878EADCD_ytjfy.txt,System.String[],2025-05-27 13:19:46.7858354,2025-05-27 13:19:46.7858354
27,37,C:\ABC_Licom PRG\TRYRE4.txt,16CF9C2003183A0C59ABD48F72AE46A6,16CF9C2003183A0C59ABD48F72AE46A6_TRYRE4.txt,System.String[],2025-05-27 13:23:22.6683424,2025-05-27 13:23:22.6683424
28,38,C:\ABC_Licom PRG\tastatura.txt,B51C304108CBB538C2AD8688EA619EE0,B51C304108CBB538C2AD8688EA619EE0_tastatura.txt,System.String[],2025-05-27 13:27:19.1911662,2025-05-27 13:27:19.1911662
29,39,C:\ABC_Licom PRG\tastatura.txt,,_tastatura.txt,System.String[],2025-05-27 13:35:54.6162457,2025-05-27 13:35:54.6162457
30,40,C:\ABC_Licom PRG\tastatura.txt,4AD37AAB5B204206F46FAA31E168EFAD,4AD37AAB5B204206F46FAA31E168EFAD_tastatura.txt,System.String[],2025-05-27 13:35:56.1390514,2025-05-27 13:35:56.1390514
31,41,C:\ABC_Licom PRG\prova cassonetto vts 215.txt,EB2455A6ECDF8941223C04E86E38B4D0,EB2455A6ECDF8941223C04E86E38B4D0_prova cassonetto vts 215.txt,System.String[],2025-05-27 14:24:43.8223531,2025-05-27 14:24:43.8223531
32,42,C:\ABC_Licom PRG\prova cassonetto vts 215.txt,,_prova cassonetto vts 215.txt,System.String[],2025-05-27 14:39:29.8969486,2025-05-27 14:39:29.8969486
33,43,C:\ABC_Licom PRG\prova cassonetto vts 215.txt,66D4BD04ECFA41407705D96F1F18022D,66D4BD04ECFA41407705D96F1F18022D_prova cassonetto vts 215.txt,System.String[],2025-05-27 14:39:31.436235,2025-05-27 14:39:31.436235
34,46,C:\ABC_Licom PRG\prova comunication 1.txt,28FD0D084D1288E8AE2BB7DE68DE8C58,28FD0D084D1288E8AE2BB7DE68DE8C58_prova comunication 1.txt,System.String[],2025-05-27 15:19:56.4286949,2025-05-27 15:19:56.4286949
35,47,C:\ABC_Licom PRG\PULIZIA 1 PIANO.txt,6D2A9A9166F0177663F2036B7A0ED224,6D2A9A9166F0177663F2036B7A0ED224_PULIZIA 1 PIANO.txt,System.String[],2025-05-27 15:31:33.2664153,2025-05-27 15:31:33.2664153
36,48,C:\ABC_Licom PRG\PULIZIA 1 PIANO.txt,,_PULIZIA 1 PIANO.txt,System.String[],2025-05-27 15:33:09.9182033,2025-05-27 15:33:09.9182033
37,49,C:\ABC_Licom PRG\PULIZIE\PULIZIA 1 PIANO.txt,6D2A9A9166F0177663F2036B7A0ED224,6D2A9A9166F0177663F2036B7A0ED224_PULIZIA 1 PIANO.txt,System.String[],2025-05-27 15:33:22.9535477,2025-05-27 15:33:22.9535477
38,50,C:\ABC_Licom PRG\prova cassonetto vts 215.txt,110C3D48934E416F6E129A00252643A0,110C3D48934E416F6E129A00252643A0_prova cassonetto vts 215.txt,System.String[],2025-05-27 16:05:22.8396143,2025-05-27 16:05:22.8396143
39,51,C:\ABC_Licom PRG\provaprotek.txt,D1BB48B2FD9CD4416F391B653DB77BD8,D1BB48B2FD9CD4416F391B653DB77BD8_provaprotek.txt,System.String[],2025-05-27 16:38:41.0894568,2025-05-27 16:38:41.0894568
40,52,C:\ABC_Licom PRG\provaprotek.txt,,_provaprotek.txt,System.String[],2025-05-27 16:46:59.6230575,2025-05-27 16:46:59.6230575
41,53,C:\ABC_Licom PRG\provaprotek.txt,5E6142A881E014C89C3221C79A5DA50B,5E6142A881E014C89C3221C79A5DA50B_provaprotek.txt,System.String[],2025-05-27 16:47:00.9012407,2025-05-27 16:47:00.9012407
42,54,C:\ABC_Licom PRG\provaprotek.txt,E44C9B31055017B170EAA78CA14A878A,E44C9B31055017B170EAA78CA14A878A_provaprotek.txt,System.String[],2025-05-27 16:57:15.6567957,2025-05-27 16:57:15.6567957
43,55,C:\ABC_Licom PRG\provaprotekhyjh.txt,A361DDF323A74AC53FEC47E3CC636B5A,A361DDF323A74AC53FEC47E3CC636B5A_provaprotekhyjh.txt,System.String[],2025-05-27 17:18:16.1915221,2025-05-27 17:18:16.1915221
44,56,C:\ABC_Licom PRG\provaprotek.txt,ECA871740297E8B14DDDA1B858BF3000,ECA871740297E8B14DDDA1B858BF3000_provaprotek.txt,System.String[],2025-05-27 17:42:10.9250901,2025-05-27 17:42:10.9250901
45,57,C:\ABC_Licom PRG\provaprotek.txt,3C540B1F3B163135CE48F2E1D30328EB,3C540B1F3B163135CE48F2E1D30328EB_provaprotek.txt,System.String[],2025-05-27 17:44:21.2432577,2025-05-27 17:44:21.2432577
46,58,C:\ABC_Licom PRG\plex.txt,ED4DD2E2CEECF6889DDD206A7D663C15,ED4DD2E2CEECF6889DDD206A7D663C15_plex.txt,System.String[],2025-05-27 17:57:39.3639541,2025-05-27 17:57:39.3639541
47,59,C:\ABC_Licom PRG\plex.txt,,_plex.txt,System.String[],2025-05-27 17:59:31.8319425,2025-05-27 17:59:31.8319425
48,60,C:\ABC_Licom PRG\plex.txt,00867128F600854F34EE33BFEA7A932A,00867128F600854F34EE33BFEA7A932A_plex.txt,System.String[],2025-05-27 17:59:33.3545633,2025-05-27 17:59:33.3545633
